author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
Jimmy;r1544350;Thursday;;;12/11/2015;Nov;14:27:36;;;1;1;Modified app Target version;;;;;
Jimmy;r1544342;Thursday;;;12/11/2015;Nov;14:16:04;;;1;1;FTRPC-119;;;;;
Jimmy;r1544339;Thursday;;;12/11/2015;Nov;14:11:02;;;1;1;FTRPC-119;;;;;
Thomas;r1544282;Thursday;;;12/11/2015;Nov;11:44:34;;;3;1;Merged from android-15.2-solutions-att-m PHONE-2017: PHONE-2019: Android - Timeline Search in Month Folder Merged from trunk: ANDINTL-3373: 15.2 | 15.2.30 | PC Home Screen | Search functionality is not working within the Timeline Month Folders [from revision 1543798];;;;;
Thomas;r1544253;Thursday;;;12/11/2015;Nov;10:32:06;;;2;1;Merged from android-15.2-solutions-att-m PHONE-2008: Phone 2.0 - Photos/ Songs/ Documents fonts should be bold on home screen. [from revision 1543831];;;;;
Thomas;r1544250;Thursday;;;12/11/2015;Nov;10:27:58;;;5;1;Merged from android-15.2-solutions-att-m PHONE-2035: Android M - After deleting a photo from the album; photos count does not match the number displayed on the albums page Merged: ANDINTL-3667: 15.3:Album count is not getting updated after we delete all photos [from revision 1544231]Merged from android-15.2-solutions-att-m PHONE-2035: Android M - After deleting a photo from the album; photos count does not match the number displayed on the albums page Merged: ANDINTL-3667: 15.3:Album count is not getting updated after we delete all photos [from revision 1544231];;;
Vincent;r1541334;Thursday;;;05/11/2015;Nov;16:31:34;;;5;1;FTRPC-337 : Frontier - Sim Contacts Import - DisabledFTRPC- --------------- frontier configured with enable_sim_contacts_import = false. default value of this varibale is true for all projects. ;;;;;
Vincent;r1540927;Wednesday;;;04/11/2015;Nov;20:47:04;;;4;1;FTRPC-304 : Frontier - Default Backups Settings to be ON --------------- configured with enable_select_all_data_classes_initially = true default value of this varibale is false for all projects.;;;;;
Vincent;r1540926;Wednesday;;;04/11/2015;Nov;20:34:30;;;5;1;FTRPC-332 : Content anywhere crashes ---------------- Seems like;" it is a device specific issue. There is no ""Content Anywhere"" account created in [android device --> settings --> accounts --> Content Anywhere]. I have fixed ArrayIndexoutOfBounds issue. No_Sync issue is still there.";;;;
Vincent;r1540834;Wednesday;;;04/11/2015;Nov;16:37:55;;;3;1;FTRPC-309 : Frontier - Report Abuse is ON ---------------- report abuse is disabled for Frontier android client.;;;;;
Vincent;r1540809;Wednesday;;;04/11/2015;Nov;16:15:14;;;3;1;FTRPC-303: Frontier - Invitation is ON -------------- invitation is now disabled on Frontier android.;;;;;
Jimmy;r1540172;Tuesday;;;03/11/2015;Nov;14:59:39;;;1;1;Enabled all clients;;;;;
